ID,course_id,sec_id,semester,year,grade
1238,Data1050,1,Fall,2022,A
1238,Data1030,1,Fall,2023,
1333,Data1030,1,Fall,2022,A
1333,Data1050,1,Fall,2022,A
1333,APMA1650,1,Spring,2023,B
1333,CSCI1270,1,Fall,2023,
1333,Data2050,1,Fall,2023,
1888,Data1050,1,Fall,2023,
1970,Data1050,1,Fall,2023,
1845,Data1050,1,Fall,2023,
1999,Data1050,1,Fall,2023,
1934,Data1050,1,Fall,2023,
1122,Data1050,1,Fall,2023,
3303,Data1050,1,Fall,2023,
2946,Data1050,1,Fall,2023,
2142,Data1050,1,Fall,2023,
2143,Data1050,1,Fall,2023,
1238,CSCI1270,1,Fall,2023,
1888,CSCI1270,1,Fall,2023,
1845,CSCI1270,2,Fall,2023,
1999,CSCI1270,1,Fall,2023,
1122,CSCI1270,2,Fall,2023,
2142,CSCI1270,1,Fall,2023,
